,,¶º°³¶º,Toymong tv ÅäÀÌ¸ùTV,¶Çº¿ V (Tobot V),TV-People,SonicToy¼Ò´ÐÅäÀÌ,ibighit,VIVA DANCE STUDIO,Boram Tube ToysReview [º¸¶÷Æ©ºê ÅäÀÌ¸®ºä],Äá¼øÀÌ?½ÃÅ©¸´ ÁêÁê (Kongsuni?Secret Jouju),ssin ¾À´Ô,SBS Drama,With Kids[À§µåÅ°Áî],MBCdrama,GOT7,Maangchi,FRAN,RISABAE,ASMR PPOMO,½´±â´Ô,ÅÂ°æ TV,SMTOWN,JTBC Entertainment,Travel Thirsty,MariAndFriends,Boram Tube [º¸¶÷Æ©ºê],KBSEntertain,JAY PARK,[ÅäÀÌÇªµù] ToyPudding TV,STUDIO ONSTYLE,BANGTANTV,MariAndToys,Ä³¸®TV CarrieTV,BLACKPINK,GIRLS' GENERATION,MariAndKids,Ã¢Çö°Å¸®³ë·¡¹æ ½öÄ«ÆäKPOP COVER STREET KARAOKE,»Ç·Î·Î(Pororo),ALL THE K-POP,¾Ç¾î À¯Æ©ºê,PONY Syndrome,M2,¼­ÀºÀÌ¾ß±â[SeoeunStory],[Dorothy]µµ·Î½Ã,iKON,starshipTV,¾ç¼öºó,¿Í½ç¸Ç-Wassup Man,¾ç¶ò À¯Æ©ºê,¹êÂê,4Minute Æ÷¹Ì´Ö(Official YouTube Channel),Stone Music Entertainment,jypentertainment,WINNER,Mnet K-POP,ToyMart TV,²ÚTV(Kkuk TV),GOD-TUK,SBSNOW,[Awesome Haeun]¾î½æÇÏÀº,ÇìÀÌÁö´Ï Hey Jini,MBCkpop,KBSKpop,Àç³Í,Mnet Official,³ªµµNado,SEVENTEEN,¿µ±¹³²ÀÚ Korean Englishman,Àá¶ã TV,µð¹ÙÁ¦½ÃÄ«DeevaJessica,°ø´ë»ý º¯½ÂÁÖ,µµÆ¼ TV,DramaKBS,MBCentertainment,ÇÃ·¹ÀÌ¸®½ºÆ®,Sungha Jung,JTBC Drama,JFlaMusic,Å©¸²È÷¾î·ÎÁî,waveya 2011,SBS Entertainment,2NE1,woolliment,TOY GUMA,Åð°æ¾Æ ¾à¸ÔÀÚ,The World of Daveµ¥ÀÌºê,ÇÎÅ©Æþ (ÀÎ±â µ¿¿ä?µ¿È­),Robocar POLI TV,officialpsy,µù°í ¹ÂÁ÷ / dingo music,º¸°â TV,²ÜÅ°honeykki,1MILLION Dance Studio,1theK (¿ø´õÄÉÀÌ),BEAST ºñ½ºÆ® (Official YouTube Channel),ToyFamily,EBSKids (EBS À¯¾Æ),Lime Tube[¶óÀÓÆ©ºê],lamuqe,TWICE,BIGBANG
2018-12-16 9:23,10,132560,101336,74630,141623,229299,824511,19784,1243558,308489,7476,118418,106932,243987,24553,23687,88977,9841,63831,48565,24681,1288877,371885,276901,106579,130861,166165,21742,487240,36426,146645,102526,38114,682659,133,213483,78811,82877,126616,28784,15298,195129,147538,117796,118993,94555,65368,17022,20688,47657,21277,261252,471905,76754,865723,254842,15759,27179,141868,32463,86846,382728,148571,14514,290364,40261,51742,42957,27471,30558,31359,36620,240451,417402,47686,24248,225630,269873,85294,38867,133542,30358,12115,83877,19261,18056,293037,122583,139162,40193,124299,16095,381367,881209,8093,52183,121745,172737,23828,27731,160653
2018-12-16 12:23,11,125833,138848,101211,157499,212458,920726,23205,1385434,387749,6121,157380,143698,308242,24890,31458,90359,11179,62616,34919,36123,1349895,393831,327956,109922,154108,214225,26798,450976,32330,179193,131153,47152,817416,242,222680,75818,118007,146305,29552,15227,201140,164239,101736,123297,111213,60069,16889,22387,50763,28191,274591,545808,80447,973608,304351,20519,30666,155277,30289,107205,411661,166472,15103,300404,35047,60689,42755,35890,38758,28353,43464,268475,484781,51359,30158,282432,207245,99262,50671,142056,33875,15034,104677,21462,18891,390572,183411,178511,39693,117965,17365,433899,1007881,8015,58086,145153,247252,13629,36674,177343
2018-12-16 15:23,12,173951,329646,282239,209123,304583,1023247,26654,2088312,727391,8106,140290,238255,351078,41044,33591,88604,17368,55014,55928,191907,1868487,622402,305156,270237,305784,313046,30489,939456,66654,233958,181113,175370,1737786,215,319199,119950,399241,225118,58157,20786,332379,381512,129186,255567,118962,84108,36110,38555,65207,27256,466022,874172,149148,1556488,381299,82114,41552,272576,190523,302762,682555,288566,43758,478008,62734,98599,62590,175940,64478,102287,216259,328821,678987,117620,36456,304382,403778,186429,49114,191789,43824,18990,127246,22555,26590,753390,268664,166184,62958,224275,20967,447702,1372266,11822,105303,447236,424295,28905,75686,259374
2018-12-16 18:23,13,166294,323023,229510,154706,297958,761609,22066,1955198,587890,6789,69704,187850,223597,39147,25595,65017,13128,35968,55593,244799,1403083,489301,251929,213704,311856,217810,25918,883676,81068,452619,149628,150357,1562574,170,232398,110799,302000,203592,44941,20038,300450,341131,127708,260174,93815,94239,40625,39961,67225,19751,466341,804631,149983,1372774,271119,73118,49830,246262,172838,276050,524773,236428,50192,447558,62995,92162,69400,206598,50239,111972,212751,209409,525400,118686,26546,206114,452334,159952,29800,138506,37267,20242,106372,22969,23618,531517,204149,134557,60379,201323,16582,395865,1208741,10912,96920,349538,318011,24350,73806,234865
2018-12-16 21:23,14,283000,457506,386535,257304,368606,871669,33001,2205016,766023,16024,181199,271742,524812,48988,38437,139375,47337,62650,93118,304685,1737829,717217,396311,326193,363616,497997,32016,1252769,109265,540636,180062,275076,2490943,247,346277,186828,564750,276539,124475,30838,415358,460688,218210,294404,122882,141553,45397,98812,108514,24432,684678,951762,244498,1590026,375249,115303,90959,414983,188740,379995,767308,311014,72162,676979,102814,104907,97242,379619,86910,170854,354906,469581,915188,209721,39715,364720,520110,187358,44846,239024,45630,27094,135728,36862,36593,714055,336494,169282,85994,228870,33856,529092,1749744,16682,128543,688038,489503,28294,87055,315062
2018-12-17 0:23,15,248139,394285,249199,185724,382820,712287,25340,2294185,592119,10850,123411,219019,393397,36575,30122,115802,76456,48306,73056,236595,1379054,567846,337345,291101,308879,480961,23444,934443,74984,432357,196489,207520,1359685,210,290498,162994,420297,214085,123819,24370,289137,393913,195978,248885,90719,125655,31037,69271,116617,18192,469540,678942,186713,1185171,328264,93819,86146,317880,136071,313994,518839,222690,113160,510990,105410,93844,80788,338232,63872,199170,305629,315383,698196,147663,31962,280484,478450,159833,45317,172569,38748,16391,123291,31311,31003,573272,244445,157428,72523,262055,28991,414401,1214052,12527,90689,520234,397586,26287,72149,228966
2018-12-17 3:23,16,267123,316543,217325,179327,342672,734422,26363,2186847,569736,11245,107615,232929,339168,343924,29644,150696,89448,51163,79088,136926,1471238,611122,420488,246360,332363,510292,25373,961513,70813,337070,207754,118159,1530665,145,304882,174156,199975,222118,93806,23752,292624,332358,210474,216201,103876,133139,26686,51743,115836,22127,471084,668319,218628,1182485,328335,70389,68043,281842,118477,229847,420896,214349,151292,522677,144269,85362,72015,172372,47538,377540,195861,320958,603585,126354,31889,248227,484027,150554,50824,180581,40440,17394,127974,36688,31524,417679,183598,157170,77252,243579,26447,439728,1185324,11534,105648,337730,360806,22442,72837,241090
2018-12-17 6:23,17,467155,326628,190997,259202,529933,1180965,34645,2744836,667150,13150,200368,245217,475690,277041,45988,242659,94677,142488,106095,75678,1961877,837336,684067,208282,315049,580802,69911,1349779,76721,505538,273677,85324,1690101,256,355585,219237,187993,283926,76178,39141,387918,290222,329922,297391,165140,198985,31731,48459,180454,33909,613168,944244,250650,1515576,467548,37337,81084,47247,130018,209401,532522,285433,201257,669425,188405,116233,96233,111935,55482,225547,36207,428542,836105,134422,47158,435028,619298,188389,81880,295356,54432,25769,168051,44499,45134,569189,249415,214908,91751,315965,36486,646663,1739125,16855,126300,290614,353754,34564,69423,326795
2018-12-17 9:23,18,207942,165853,112309,177396,326597,950590,24179,1754785,387158,8689,161067,148482,351577,113102,32339,124578,41010,101479,63409,29636,1255014,461428,485414,128473,169957,312939,44564,660893,33846,289926,159139,50208,849455,205,242606,103432,115495,160638,41051,20036,250235,164798,159945,147768,116471,88157,10729,29833,84123,28307,315377,566379,113555,829598,351156,16299,29970,184725,51727,84149,308715,163515,32448,353985,68657,66627,48776,34885,42161,60648,38864,323584,551784,50799,32813,283325,244156,103950,59384,209407,38925,15270,130159,23421,21440,410976,189339,193383,48004,100366,21324,469229,1086459,11842,87723,167151,238776,20965,35466,188942
2018-12-17 12:23,19,131520,138139,93375,163947,221523,900901,22906,1413842,372595,5856,123830,124282,282342,130986,30827,83364,20580,64858,27868,29158,1281122,393721,391480,110783,153328,252674,39483,571520,25607,261915,134878,39654,959647,96,200207,89282,118051,150708,29092,14838,205815,154853,106657,149735,118321,65743,11872,21375,48292,27321,320944,662104,118509,765317,307758,11612,20564,157515,59154,108167,273821,155775,27954,288583,37596,66859,37547,41948,39564,62666,39724,288265,452626,31633,31210,230828,195720,96923,52348,190354,33604,16441,115783,21616,18710,442827,189107,147383,39039,86782,18532,390706,1067173,9396,69358,140196,232532,16381,35852,182041
