,,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
2018-07-16,29,0,14,0,0,20,9,0,9,8,0,0,0,0,20,0,0,14
2018-07-23,30,0,21,13,0,0,9,10,0,12,0,20,9,20,20,0,0,0
2018-07-30,31,0,18,50,20,0,9,0,9,8,0,0,0,40,10,17,0,0
2018-08-06,32,11,25,38,0,0,9,10,27,38,0,0,45,0,10,0,17,29
2018-08-13,33,0,25,0,20,0,27,10,27,27,0,0,9,0,10,0,33,57
2018-08-20,34,22,14,63,40,0,0,0,18,31,0,0,18,0,0,0,0,14
2018-08-27,35,0,21,13,40,20,27,10,9,19,0,0,18,0,0,0,0,0
2018-09-03,36,33,18,63,20,0,18,30,0,4,0,0,0,20,0,0,0,0
2018-09-10,37,0,11,0,0,0,0,0,0,19,0,0,9,20,0,0,33,0
2018-09-17,38,0,18,0,0,0,0,10,18,12,0,0,27,0,20,0,0,0
2018-09-24,39,0,14,13,0,20,9,10,0,23,0,0,0,20,0,0,0,29
2018-10-01,40,0,61,0,20,0,27,10,27,23,0,0,27,20,40,17,17,0
2018-10-08,41,11,75,0,20,40,0,20,27,69,0,20,9,0,0,67,0,29
2018-10-15,42,33,29,50,40,0,9,10,27,62,0,0,0,0,20,33,0,0
2018-10-22,43,11,32,0,20,0,0,20,0,23,0,0,9,0,0,0,0,0
2018-10-29,44,0,11,13,40,0,0,70,82,19,0,0,18,40,10,0,50,14
2018-11-05,45,22,21,38,20,0,0,0,27,23,0,20,9,0,20,0,33,0
2018-11-12,46,0,36,38,20,20,18,0,9,50,0,0,27,0,0,0,0,0
2018-11-19,47,11,29,13,40,20,9,0,18,46,0,20,36,0,0,17,0,14
2018-11-26,48,0,61,13,20,40,9,20,18,31,0,0,18,0,0,0,33,29
2018-12-03,49,0,21,50,20,20,18,10,18,27,0,0,45,20,0,17,33,29
2018-12-10,50,11,11,0,60,40,27,10,18,46,0,0,0,0,20,0,0,14
2018-12-17,51,11,54,63,0,0,9,30,9,35,0,20,27,40,20,33,0,0
2018-12-24,52,0,39,0,0,20,18,20,18,42,0,20,27,40,10,0,17,0
2018-12-31,53,0,46,13,0,40,0,10,27,27,0,40,0,0,20,33,0,29
2019-01-07,54,0,21,25,40,0,9,10,18,31,0,0,36,0,10,0,0,29
2019-01-14,55,11,43,25,20,20,18,0,9,19,0,0,27,0,30,0,33,0
2019-01-21,56,11,36,38,20,20,18,10,27,42,33,40,9,20,20,0,67,0
2019-01-28,57,0,36,25,20,20,36,0,9,54,0,0,27,0,10,17,17,29
2019-02-04,58,0,39,13,20,20,18,0,18,31,0,0,45,20,0,0,0,29
2019-02-11,59,0,36,13,0,0,9,10,9,50,0,20,18,0,20,0,17,29
2019-02-18,60,0,39,50,20,20,18,0,36,77,0,0,18,20,20,0,33,29
2019-02-25,61,0,64,13,20,0,73,20,0,65,0,0,18,20,20,0,33,14
2019-03-04,62,11,36,88,0,20,9,0,18,46,33,0,9,0,30,0,50,14
2019-03-11,63,22,39,63,20,0,0,0,27,54,67,20,18,0,20,0,17,14
2019-03-18,64,22,57,25,0,0,18,10,9,62,0,20,27,20,10,0,33,29
2019-03-25,65,11,61,50,20,0,55,0,27,65,0,0,73,60,0,0,83,29
2019-04-01,66,22,36,88,20,100,9,0,36,46,0,40,27,60,0,0,0,0
2019-04-08,67,22,39,13,60,0,18,0,27,69,33,60,0,20,10,17,67,0
2019-04-15,68,0,61,50,100,20,9,10,9,77,0,0,27,0,10,17,0,29
2019-04-22,69,0,32,13,60,20,27,40,45,62,100,40,64,40,0,17,33,29
2019-04-29,70,33,79,38,40,0,9,30,55,62,0,40,64,60,10,33,17,57
2019-05-06,71,11,64,25,0,40,18,10,27,46,0,0,9,0,10,33,17,100
2019-05-13,72,0,64,25,40,40,0,20,27,42,0,0,9,20,50,0,0,0
2019-05-20,73,56,79,25,60,40,27,20,100,100,0,80,36,60,20,83,33,57
2019-05-27,74,0,39,38,100,20,64,20,27,81,0,0,0,40,70,0,50,29
2019-06-03,75,22,46,50,80,0,27,10,36,50,0,20,18,60,10,0,17,100
2019-06-10,76,11,39,13,60,20,18,10,36,62,33,20,27,40,30,0,17,0
2019-06-17,77,22,68,0,0,40,0,30,9,35,0,20,18,100,50,0,83,0
2019-06-24,78,11,75,25,40,40,9,10,18,46,33,0,18,20,20,0,50,71
2019-07-01,79,0,61,13,40,20,45,10,18,31,0,80,18,20,50,0,17,0
2019-07-08,80,22,43,50,80,40,0,10,18,73,0,60,18,20,0,0,33,0
2019-07-15,81,0,75,38,60,0,9,10,27,42,0,0,27,20,10,0,0,29
2019-07-22,82,33,68,63,100,20,18,10,27,92,0,20,36,20,0,33,33,57
2019-07-29,83,22,82,100,80,60,18,20,36,62,0,0,45,100,0,100,100,57
2019-08-05,84,0,64,38,40,80,0,10,27,96,0,40,9,80,0,17,33,0
2019-08-12,85,100,82,63,20,40,0,50,27,81,0,20,100,20,20,33,100,14
2019-08-19,86,44,50,75,40,60,100,30,9,54,33,20,27,20,10,0,67,14
2019-08-26,87,22,100,63,60,80,9,10,18,50,0,0,36,60,10,0,0,0
2019-09-02,88,33,43,75,20,20,9,0,9,38,0,20,36,0,10,17,33,14
2019-09-09,89,44,54,0,60,0,45,60,45,19,0,60,18,20,20,0,0,0
2019-09-16,90,0,39,38,60,40,0,10,9,23,33,0,36,0,20,0,0,43
2019-09-23,91,22,46,50,20,40,9,10,64,62,0,20,9,0,0,17,0,0
2019-09-30,92,11,71,50,60,80,27,10,36,46,0,0,27,0,20,0,0,14
2019-10-07,93,33,71,63,80,40,73,0,36,62,0,20,18,60,30,0,17,14
