id,name,mean_sub,mean_vi,,,,
UCPUeGC_AL-OnDQORKhRm6iA,뽀로로(Pororo),2787106,3603968210,,M2,,UCTQVIXvcHrR9jYoJ6qaBAow
UCcpAtOvcne_cX7gvarTgKsQ,[Awesome Haeun]어썸하은,2782398,392249680.8,,서은이야기[SeoeunStory],,UCVihezVtsguXEouYvtKmKYA
UCVihezVtsguXEouYvtKmKYA,서은이야기[SeoeunStory],2646920,1134166817,,[Dorothy]도로시,,UCWUwriihuQ_ybNrAOqbg3yg
UC0vDCy8moGUhR7kRL19wWpw,Toymong tv 토이몽TV,2633179,1220367587,,iKON,,UCWxCyZibDIWIrGIgP25mbfw
UC2NvqL2gbWQXbfnLN7C9XFg,SonicToy소닉토이,2563266,1250618503,,starshipTV,,UCYDmx2Sfpnaxg488yBpZIGg
UC3sCmmMaM383cjv1jNdiU2w,콩순이?시크릿 쥬쥬 (Kongsuni?Secret Jouju),2536802,2163560815,,양수빈,,UCYJrfuYXNqb5XSRd22XRwGw
UCayQxFAoFCvGariuQCtHRGQ,WINNER,2476180,654919112.5,,와썹맨-Wassup Man,,UCYgUhR7EGKauFXgJS0pckGg
UChQ-VMvdGrYZxviQVMTJOHg,도티 TV,2465973,2256313031,,양띵 유튜브,,UCYooECrv-fIXlPaDwEIaveA
UC7lb15P-Hux7A5gBuhCxtuQ,MBCdrama,2306494,2411955873,,밴쯔,,UCYx9lhCw0u2-OoqVtEU0IMg
UCobTjybs6aP0ECliVTqbmog,TOY GUMA,2276194,790283382.1,,4Minute 포미닛(Official YouTube Channel),,UC_Dm4o5UrbPr2uvM7VPUR6g
UCPGFLUUESbnhkOTpIt71Awg,MariAndKids,2269952,888810826.2,,Stone Music Entertainment,,UC_pwIXKXNm5KGhdEVzmY60A
UCcOYEm78CpaZQvPE6LtoSeA,SBSNOW,2221597,2275824070,,jypentertainment,,UCaO6TYtlC8U5ttz62hTrZgg
UCmjNKt6kITwaZTqvWuaSPLg,SBS Entertainment,2102872,1642165814,,WINNER,,UCayQxFAoFCvGariuQCtHRGQ
UC9kmlDcqksaOnCkC_qzGacA,RISABAE,2048272,220270317.7,,Mnet K-POP,,UCbD8EppRX3ZwJSou-TVo90A
UCxLOTgnqpSqQp_kMPlb7PWw,ToyFamily,2039344,1168142343,,ToyMart TV,,UCbWPYsyJX1-7uvfOw3LkLqw
UCmLiSrat4HW2k07ahKEJo4w,크림히어로즈,2031344,498319792.9,,꾹TV(Kkuk TV),,UCbuks6fmwRefCTGg9aNwgeQ
UCN106RQxroojNzkEMuRC0BA,캐리TV CarrieTV,1951417,1893115467,,GOD-TUK,,UCc4pDO0Bo6qiFSe7mpVguhQ
UCPJmHR4CG_lRuVwKCo0kjjg,창현거리노래방 쏭카페KPOP COVER STREET KARAOKE,1921783,943744707.9,,SBSNOW,,UCcOYEm78CpaZQvPE6LtoSeA
UCx_dzPI6efSohgtOkAG43-A,EBSKids (EBS 유아),1912234,2821643315,,[Awesome Haeun]어썸하은,,UCcpAtOvcne_cX7gvarTgKsQ
UC_Dm4o5UrbPr2uvM7VPUR6g,4Minute 포미닛(Official YouTube Channel),1877577,957007073.9,,헤이지니 Hey Jini,,UCdet8uJfTFlACtY05BQmJ1Q
UChE5nZAIhWS5vYTRjsUgRpQ,공대생 변승주,1864691,633335009.6,,MBCkpop,,UCe52oeb7Xv_KaJsEzcKXJJg
UCMY30BnMbn6wElwLvDgcajw,MariAndToys,1860364,714530247.7,,KBSKpop,,UCeLPm9yH_a_QH8n6445G-Ow
UCr-rCvgg21KqfrnGopaQeGw,Robocar POLI TV,1856022,1662028999,,재넌,,UCem8l1w4OWhkqpoOg1SB4_w
UCid83oPnsL-4ZEo8CyQr6Rg,플레이리스트,1820506,335212513.2,,Mnet Official,,UCepUWUpH45hRTi-QePdq1Bg
UCPENYtHg4Xhmm6oX8zaQA7Q,GIRLS' GENERATION,1814794,608892.0308,,나도Nado,,UCf9sl-IcwNXDqWwWwp4vEwg
UCxutPqfWSdYqaK8_tlc5PBA,Lime Tube[라임튜브],1787432,1342798395,,SEVENTEEN,,UCfkXDY7vwkcJ8ddFGz8KusA
UCYooECrv-fIXlPaDwEIaveA,양띵 유튜브,1780894,1568121083,,영국남자 Korean Englishman,,UCg-p3lQIqmhh7gHpyaOmOiQ
UC1cWTErb7vw_UmmuB0dYgsQ,TV-People,1773446,1765441739,,잠뜰 TV,,UCg7rkxrTnIhiHEpXY1ec9NA
UCWUwriihuQ_ybNrAOqbg3yg,[Dorothy]도로시,1773111,371591164,,디바제시카DeevaJessica,,UCh6O-aBKR-99dg4rPy69CXg
UCBCY00Ox6Cins0oRwSLqNGA,슈기님,1741088,432549412.8,,공대생 변승주,,UChE5nZAIhWS5vYTRjsUgRpQ
UCqTVaBwm6FwVTt3oC77q9Mw,The World of Dave데이브,1727818,322468097.2,,도티 TV,,UChQ-VMvdGrYZxviQVMTJOHg
UC3LIEPioeH0CmVCmCn4JS1g,VIVA DANCE STUDIO,1718030,240716315.9,,DramaKBS,,UChpjIaEgwtDZtmWEkzFulSA
UCtCiO5t2voB14CmZKTkIzPQ,딩고 뮤직 / dingo music,1695627,525719031.6,,MBCentertainment,,UCiBr0bK06imaMbLc8sAEz0A
UCAtFkapSeoEGPxm5bC3tvaw,ASMR PPOMO,1655741,331457516.1,,플레이리스트,,UCid83oPnsL-4ZEo8CyQr6Rg
UCYgUhR7EGKauFXgJS0pckGg,와썹맨-Wassup Man,1646725,86077829.45,,Sungha Jung,,UCjWRi2qaGtKjQyoQLc4OGkw
UCg7rkxrTnIhiHEpXY1ec9NA,잠뜰 TV,1646189,1194474946,,JTBC Drama,,UCkbJc8jMcTXwhtmN5VMwfXg
UC6erIDuvbOaAO-OT5rB2Xew,SBS Drama,1639769,1707272575,,JFlaMusic,,UClkRzsdvg7_RKVhwDwiDZOA
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,1634591,1450102462,,크림히어로즈,,UCmLiSrat4HW2k07ahKEJo4w
UC6ye474SJCiPsEPueO_b3Gw,With Kids[위드키즈],1616314,646103276,,waveya 2011,,UCmR-oFhgGGe-dCRiDg2ysLw
UC5xK2Xdrud3-KGjkS1Igumg,ssin 씬님,1608508,369543043.3,,SBS Entertainment,,UCmjNKt6kITwaZTqvWuaSPLg
UCYJrfuYXNqb5XSRd22XRwGw,양수빈,1583226,245705669.4,,2NE1,,UCnsQjCVzmEd-YvlQZbo6zCg
UCq-NPoQsxpkdu5n2-BF5TCw,퇴경아 약먹자,1571536,182496085.4,,woolliment,,UCoQIdt0bWPv3-_xuybJvTjQ
UCh6O-aBKR-99dg4rPy69CXg,디바제시카DeevaJessica,1569782,491948976.6,,TOY GUMA,,UCobTjybs6aP0ECliVTqbmog
UCvQPUPoMK0Smj-OHeUe9SEw,꿀키honeykki,1548906,185938815.3,,퇴경아 약먹자,,UCq-NPoQsxpkdu5n2-BF5TCw
UCIAH4FXl2DQ4HmLupsyFiug,MariAndFriends,1535160,814048323.7,,The World of Dave데이브,,UCqTVaBwm6FwVTt3oC77q9Mw
UCbuks6fmwRefCTGg9aNwgeQ,꾹TV(Kkuk TV),1527936,681868898.7,,핑크퐁 (인기 동요?동화),,UCqXwKu6dKobXEQFhdKtiJLQ
UCoQIdt0bWPv3-_xuybJvTjQ,woolliment,1485887,468113132.3,,Robocar POLI TV,,UCr-rCvgg21KqfrnGopaQeGw
UCdet8uJfTFlACtY05BQmJ1Q,헤이지니 Hey Jini,1478461,624376387.6,,officialpsy,,UCrDkAvwZum-UTjHmzDI2iIw
UChpjIaEgwtDZtmWEkzFulSA,DramaKBS,1477009,1676632976,,딩고 뮤직 / dingo music,,UCtCiO5t2voB14CmZKTkIzPQ
UC1WEOQjm8tyT1pXY6xaoYZQ,또봇 V (Tobot V),1462832,1833305272,,보겸 TV,,UCu9BCtGIEr73LXZsKmoujKw
UCK5fO9Q2gitao0M5yQvPnvw,JAY PARK,1435535,315215269.2,,꿀키honeykki,,UCvQPUPoMK0Smj-OHeUe9SEw
UCem8l1w4OWhkqpoOg1SB4_w,재넌,1426884,438844084,,1MILLION Dance Studio,,UCw8ZhLPdQ0u_Y-TLKd61hGA
UC8kRUGUkq_sTGuKNR1l6Rrw,FRAN,1400509,493558062.3,,1theK (원더케이),,UCweOkPb1wVVH0Q0Tlj4a5Pw
UCLQ_lTDcNOj7VzNeW0kZ17w,STUDIO ONSTYLE,1395218,99466774.54,,BEAST 비스트 (Official YouTube Channel),,UCwpmEwAbLPUHH_9y8JazVnA
UCzDTOmSRs8c_ej7XRvn53og,lamuqe,1386574,105419667.4,,ToyFamily,,UCxLOTgnqpSqQp_kMPlb7PWw
UCc4pDO0Bo6qiFSe7mpVguhQ,GOD-TUK,1375570,482637094.8,,EBSKids (EBS 유아),,UCx_dzPI6efSohgtOkAG43-A
UCf9sl-IcwNXDqWwWwp4vEwg,나도Nado,1362357,235571183.2,,Lime Tube[라임튜브],,UCxutPqfWSdYqaK8_tlc5PBA
UCEPuItFWOOJ2o5hTu65NlEg,태경 TV,1335230,1394282510,,lamuqe,,UCzDTOmSRs8c_ej7XRvn53og
UCwpmEwAbLPUHH_9y8JazVnA,BEAST 비스트 (Official YouTube Channel),1323713,500527303.5,,TWICE,,UCzgxx_DM2Dcb9Y1spb9mUJA
UCQJuZxeDv2P05YHcC-tIEVQ,악어 유튜브,1321511,958021185.3,,BIGBANG,,UCzw-C7fNfs018R1FzIKnlaA
