,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
86,28,63,64,72,70,40,48,72,68,50,83,49,37,63,83,63,55
87,43,63,45,42,33,54,63,48,61,20,37,47,54,51,50,63,54
88,40,57,46,57,49,40,44,59,64,10,66,54,40,53,69,35,45
89,52,66,47,76,66,77,67,59,64,40,51,50,32,63,28,58,49
90,45,65,44,57,64,57,39,68,72,80,32,52,40,72,28,46,40
91,51,79,65,69,72,69,58,60,73,10,41,56,43,51,33,72,65
92,57,74,68,51,49,59,58,81,86,20,63,64,79,94,42,85,63
93,42,72,41,70,56,86,56,56,71,10,44,63,38,61,53,71,71
94,39,58,56,49,62,47,36,53,55,10,63,36,59,43,47,49,48
95,31,52,50,42,51,49,44,45,44,30,37,51,26,67,31,35,48
96,24,50,37,43,38,50,42,48,43,20,39,56,35,36,47,65,35
97,33,38,49,64,46,43,42,50,50,30,41,27,35,50,44,40,55
98,28,48,49,67,38,50,55,53,46,40,22,44,32,58,64,28,34
99,22,53,55,76,41,49,41,56,54,20,61,43,41,42,36,48,46
100,33,61,51,66,43,41,56,50,58,10,78,42,43,40,69,48,38
101,40,55,53,60,41,59,55,40,57,10,27,36,28,46,47,38,42
102,33,50,48,39,59,64,50,48,55,50,46,57,41,47,64,60,58
103,37,54,43,45,38,46,53,51,52,10,46,50,32,49,31,62,32
104,33,59,63,42,57,54,59,42,52,10,68,55,44,54,39,58,26
105,39,64,52,58,54,74,63,45,58,20,32,66,51,61,39,60,37
106,46,56,47,52,66,59,34,52,59,40,24,51,56,61,53,82,34
107,58,53,46,52,36,40,75,43,59,0,37,50,43,63,44,48,23
108,48,51,42,51,33,34,33,55,46,40,27,46,24,53,42,38,45
109,33,51,47,46,57,54,42,37,36,10,39,50,34,42,53,34,42
110,54,46,22,28,36,37,36,43,46,10,20,40,37,47,22,38,49
111,24,50,45,25,49,27,33,40,47,20,12,42,37,47,36,29,46
112,25,37,33,37,30,29,22,29,38,30,24,36,21,26,33,29,14
113,15,32,28,45,36,17,16,26,31,40,12,28,24,35,17,23,26
114,10,35,34,22,46,33,41,30,34,10,17,19,21,18,31,35,26
115,33,37,28,25,30,44,22,30,27,0,12,23,15,32,19,31,28
116,28,36,23,30,28,41,20,32,35,10,17,26,24,25,11,35,9
117,16,25,29,13,23,23,11,29,32,30,5,28,18,26,31,12,29
118,16,23,18,22,10,31,22,27,21,20,22,27,16,11,22,17,25
119,19,20,19,25,33,36,30,27,29,40,32,17,10,17,8,15,18
120,6,31,31,34,23,39,25,28,24,10,20,25,18,29,8,31,35
121,34,38,21,28,38,37,28,29,39,10,46,36,34,32,19,60,37
122,25,50,42,45,52,39,53,39,53,20,37,41,26,56,6,38,48
123,7,30,30,21,15,27,28,33,27,20,17,28,16,32,8,23,34
124,31,24,24,31,34,16,30,27,37,10,17,19,24,19,19,46,15
125,54,27,30,34,36,43,14,31,34,10,39,22,22,28,42,48,40
126,33,42,34,46,52,60,33,48,40,20,34,45,31,25,17,40,31
127,18,34,27,48,43,26,34,34,34,30,41,38,28,40,42,29,31
128,9,31,20,28,31,37,31,22,38,20,24,30,18,33,22,23,23
129,30,35,29,19,28,29,31,20,31,0,20,46,15,29,17,38,15
130,18,38,16,24,43,31,20,26,29,40,24,35,37,28,25,38,34
131,42,37,32,31,31,21,20,42,46,10,22,41,26,15,36,37,25
132,24,39,24,15,39,36,28,37,41,30,10,43,22,36,28,54,42
133,9,41,31,39,18,33,27,29,40,10,44,45,15,49,31,35,25
134,25,45,42,30,46,46,45,20,46,10,37,41,41,40,33,42,38
